BFP,GFP,RFP
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
N/A,N/A,UTR2-RBS3
UTR3-RBS2,N/A,N/A
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
N/A,N/A,UTR2-RBS3
UTR3-RBS2,N/A,N/A
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
UTR3-RBS2,UTR1-RBS-A09,UTR2-RBS3
N/A,N/A,UTR2-RBS3
UTR3-RBS2,N/A,N/A